observation_date,D10NINC_PCH,D10WFCDA_PCH,D10WLAD_PCH,D10TLLFRN_PCH,D10WLDEP_PCH,D10WABPL_PCH,D10WAOAL_PCH,D10IBB_PCH,D10NINC_PCH,D10WARAL_PCH,D10WLTOTL_PCH,,observation_date,D10NPTL_PCH
1995-04-01,105.7,,,-0.3,,,,-10.3,105.7,,,,1995-04-01,0.0
1995-07-01,58.3,,,2.3,,,,-5.2,58.3,,,,1995-07-01,0.0
1995-10-01,32.0,,,-2.4,,,,9.7,32.0,,,,1995-10-01,-4.1
1996-01-01,-73.9,,,5.1,,,,12.1,-73.9,,,,1996-01-01,12.8
1996-04-01,110.2,,,3.1,,,,-6.3,110.2,,,,1996-04-01,-0.9
1996-07-01,51.2,,,-2.1,,,,0.7,51.2,,,,1996-07-01,-2.9
1996-10-01,31.0,,,-2.5,,,,5.3,31.0,,,,1996-10-01,-4.9
1997-01-01,-74.5,,,-1.5,,,,87.1,-74.5,,,,1997-01-01,0.0
1997-04-01,77.5,,,-18.5,,,,0.1,77.5,,,,1997-04-01,-3.1
1997-07-01,47.6,,,-8.5,,,,18.5,47.6,,,,1997-07-01,-4.3
1997-10-01,34.5,,,0.4,,,,-11.8,34.5,,,,1997-10-01,-4.4
1998-01-01,-71.8,,,8.5,,,,-6.5,-71.8,,,,1998-01-01,9.3
1998-04-01,102.8,,,-1.3,,,,19.9,102.8,,,,1998-04-01,-1.1
1998-07-01,50.0,,,3.7,,,,-44.8,50.0,,,,1998-07-01,-2.2
1998-10-01,24.3,,,-2.9,,,,90.9,24.3,,,,1998-10-01,-1.1
1999-01-01,-73.9,,,6.7,,,,4.4,-73.9,,,,1999-01-01,6.7
1999-04-01,109.6,,,1.1,,,,0.6,109.6,,,,1999-04-01,-6.3
1999-07-01,53.6,,,5.1,,,,-37.9,53.6,,,,1999-07-01,0.0
1999-10-01,32.9,,,-5.4,,,,2.2,32.9,,,,1999-10-01,-12.2
2000-01-01,-78.3,,,3.9,,,,-4.2,-78.3,,,,2000-01-01,5.1
2000-04-01,123.1,,,9.9,,,,31.0,123.1,,,,2000-04-01,1.2
2000-07-01,46.5,,,3.1,,,,-25.8,46.5,,,,2000-07-01,2.4
2000-10-01,35.5,,,-3.9,,,,32.6,35.5,,,,2000-10-01,-7.0
2001-01-01,-72.5,,,15.1,,,,66.0,-72.5,,,,2001-01-01,15.0
2001-04-01,98.8,,,2.9,,,,-23.8,98.8,,,,2001-04-01,1.1
2001-07-01,48.0,,,7.3,,,,35.6,48.0,,,,2001-07-01,5.4
2001-10-01,33.4,,,-2.5,,,,-4.4,33.4,,,,2001-10-01,-6.1
2002-01-01,-72.0,,,6.2,,,,35.4,-72.0,,,,2002-01-01,7.6
2002-04-01,103.7,,,1.4,,,,22.2,103.7,,,,2002-04-01,0.0
2002-07-01,47.7,,,6.8,,,,25.0,47.7,,,,2002-07-01,4.0
2002-10-01,30.6,#N/A,#N/A,-2.9,#N/A,#N/A,#N/A,3.5,30.6,#N/A,#N/A,,2002-10-01,-6.8
2003-01-01,-74.9,#N/A,#N/A,14.5,#N/A,#N/A,#N/A,-4.2,-74.9,#N/A,#N/A,,2003-01-01,14.6
2003-04-01,97.4,0.4,2.9,1.5,1.7,1.8,-8.8,7.1,97.4,#N/A,3.0,,2003-04-01,0.9
2003-07-01,41.3,0.2,0.1,-4.5,0.8,5.0,-3.2,18.2,41.3,#N/A,-1.9,,2003-07-01,-6.3
2003-10-01,18.0,7.5,0.9,-8.3,4.2,2.3,-3.7,-70.4,18.0,#N/A,1.2,,2003-10-01,-5.8
2004-01-01,-72.7,-15.0,-2.8,-0.3,-3.9,29.7,-0.7,-0.7,-72.7,#N/A,3.4,,2004-01-01,2.0
2004-04-01,96.7,-9.3,2.0,-0.9,8.0,4.3,-2.8,0.7,96.7,#N/A,5.3,,2004-04-01,-3.0
2004-07-01,52.4,1.0,3.8,-3.0,-8.1,1.9,-0.7,0.3,52.4,#N/A,3.8,,2004-07-01,-5.2
2004-10-01,30.8,5.7,1.9,-9.4,3.0,4.2,-1.8,-3.1,30.8,#N/A,3.2,,2004-10-01,-13.0
2005-01-01,-71.3,-18.9,-19.5,-5.0,-6.2,4.3,-4.0,10.1,-71.3,#N/A,-0.6,,2005-01-01,-5.0
2005-04-01,101.0,-14.2,2.2,-4.1,-1.8,3.4,6.7,-5.5,101.0,#N/A,-0.1,,2005-04-01,-3.9
2005-07-01,52.0,-2.9,-2.7,2.5,-10.8,-9.8,-0.1,17.4,52.0,#N/A,4.6,,2005-07-01,-1.4
2005-10-01,30.4,-3.2,8.9,0.2,-4.6,6.1,1.6,-15.4,30.4,#N/A,2.4,,2005-10-01,-5.6
2006-01-01,-74.4,1.9,-9.9,4.1,3.8,8.2,0.9,4.9,-74.4,#N/A,5.9,,2006-01-01,2.9
2006-04-01,105.1,5.0,21.0,3.3,-5.4,15.6,7.5,-10.3,105.1,#N/A,2.8,,2006-04-01,2.9
2006-07-01,51.8,0.5,-3.9,6.2,-11.3,19.8,2.0,-4.2,51.8,#N/A,-0.4,,2006-07-01,6.9
2006-10-01,30.6,0.8,23.6,0.2,-8.7,15.9,2.0,8.8,30.6,#N/A,6.1,,2006-10-01,-5.2
2007-01-01,-74.8,-7.0,0.8,8.3,-2.6,19.4,7.8,-5.2,-74.8,#N/A,6.5,,2007-01-01,9.6
2007-04-01,107.6,-3.6,4.1,18.8,-2.4,19.0,8.7,7.4,107.6,82.6,1.1,,2007-04-01,10.0
2007-07-01,53.1,2.8,6.4,9.5,-1.7,16.2,3.2,1.1,53.1,6.5,-1.4,,2007-07-01,8.0
2007-10-01,19.8,5.6,5.6,16.2,-10.8,10.8,5.3,2.1,19.8,57.9,5.4,,2007-10-01,8.4
2008-01-01,-70.7,-0.1,-8.2,30.8,20.5,5.4,3.4,20.0,-70.7,3.9,5.7,,2008-01-01,25.2
2008-04-01,57.8,0.3,-3.2,17.3,-5.7,1.4,1.2,2.6,57.8,163.5,-3.6,,2008-04-01,10.9
2008-07-01,16.9,-2.5,-8.8,14.9,10.9,-0.4,-0.7,5.4,16.9,-3.6,-1.4,,2008-07-01,11.9
2008-10-01,3.2,-0.2,1.0,27.4,1342.4,-0.4,-0.5,149.3,3.2,-25.2,25.2,,2008-10-01,26.3
2009-01-01,-80.6,-3.8,-10.3,23.4,94.8,-0.6,3.5,50.8,-80.6,-87.8,14.4,,2009-01-01,26.7
2009-04-01,104.7,-2.5,10.6,13.8,51.2,-0.5,62.7,4.2,104.7,-100.0,17.0,,2009-04-01,13.3
2009-07-01,34.1,4.3,-1.7,10.2,-20.8,-0.6,22.4,18.7,34.1,#N/A,-9.3,,2009-07-01,11.0
2009-10-01,10.1,3.7,69.8,5.0,36.6,-0.4,18.2,28.1,10.1,#N/A,13.6,,2009-10-01,4.3
2010-01-01,-33.3,-15.4,40.3,3.4,11.3,-0.5,5.8,13.5,-33.3,#N/A,4.5,,2010-01-01,2.1
2010-04-01,47.1,-11.0,-31.8,-2.2,-6.9,-0.5,-16.1,-3.7,47.1,#N/A,-3.6,,2010-04-01,-2.3
2010-07-01,53.8,4.7,-14.7,1.2,-8.4,-0.1,-8.0,-3.9,53.8,#N/A,3.2,,2010-07-01,1.8
2010-10-01,28.6,4.5,-13.1,-9.5,26.9,-0.3,1.2,2.4,28.6,#N/A,12.1,,2010-10-01,-7.9
2011-01-01,-63.2,7.9,-8.6,-11.5,-5.2,-0.2,8.8,10.6,-63.2,#N/A,-3.5,,2011-01-01,-8.0
2011-04-01,99.1,4.8,8.5,-3.5,-10.9,-0.6,-8.3,-2.5,99.1,#N/A,-6.7,,2011-04-01,-1.7
2011-07-01,55.8,1.4,-1.3,-11.2,2.8,-0.8,-0.7,1.6,55.8,#N/A,2.4,,2011-07-01,-8.5
2011-10-01,24.9,-2.6,12.3,-15.8,-12.5,-0.5,1.0,3.6,24.9,#N/A,-1.4,,2011-10-01,-14.6
2012-01-01,-68.5,4.7,32.0,-4.7,9.6,-0.4,-0.1,5.1,-68.5,#N/A,3.7,,2012-01-01,-3.2
2012-04-01,101.8,1.5,12.2,-8.9,-11.0,-0.8,-16.9,-16.9,101.8,#N/A,-0.8,,2012-04-01,-11.2
2012-07-01,51.3,-0.3,-7.5,-3.5,-6.1,-0.8,-5.6,0.2,51.3,#N/A,-3.7,,2012-07-01,-4.2
2012-10-01,26.8,0.7,52.7,-6.4,0.5,-0.4,4.5,17.9,26.8,-100.0,-3.0,,2012-10-01,-7.7
2013-01-01,-74.0,-3.2,-15.5,-4.3,12.1,-0.6,3.4,14.5,-74.0,#N/A,0.3,,2013-01-01,-2.4
2013-04-01,102.2,-2.7,-8.3,-6.3,-15.9,-0.6,-3.2,-28.5,102.2,#N/A,-11.4,,2013-04-01,-8.5
2013-07-01,48.1,0.7,-8.6,2.0,-9.3,-0.4,8.2,7.5,48.1,#N/A,-4.2,,2013-07-01,-2.6
2013-10-01,34.4,1.3,19.0,-11.9,6.4,-0.7,5.2,9.8,34.4,#N/A,3.4,,2013-10-01,-12.2
2014-01-01,-76.4,1.8,-23.4,-10.2,14.6,-0.5,3.9,1.6,-76.4,#N/A,10.0,,2014-01-01,-8.5
2014-04-01,116.7,2.0,-2.8,-5.1,-13.9,-0.7,-23.5,-20.7,116.7,#N/A,1.9,,2014-04-01,-7.6
2014-07-01,55.3,-2.4,-1.7,-5.2,10.8,-0.4,0.0,24.4,55.3,#N/A,5.2,,2014-07-01,-6.4
2014-10-01,32.4,-7.1,1.5,-12.4,10.9,-0.6,0.3,10.3,32.4,#N/A,5.0,,2014-10-01,-13.7
2015-01-01,-74.2,-7.6,-4.2,0.1,19.2,-0.7,1.7,-2.2,-74.2,#N/A,13.7,,2015-01-01,1.1
2015-04-01,108.8,-1.8,9.1,0.0,-13.6,-0.4,-1.3,-16.5,108.8,#N/A,-3.6,,2015-04-01,-4.5
2015-07-01,51.0,0.1,-5.0,-1.2,-9.6,-0.6,-0.1,-1.8,51.0,-100.0,-3.5,,2015-07-01,-3.5
2015-10-01,30.9,-0.7,7.8,2.4,2.3,0.1,1.2,-1.6,30.9,#N/A,1.0,,2015-10-01,-1.2
2016-01-01,-75.0,2.8,-11.4,10.0,5.0,0.7,0.8,11.0,-75.0,-100.0,-0.1,,2016-01-01,9.9
2016-04-01,107.5,-1.3,7.1,-1.8,-6.8,0.4,3.9,-9.6,107.5,#N/A,-2.8,,2016-04-01,-1.1
2016-07-01,56.0,1.6,3.6,0.9,-0.6,-0.3,0.5,7.3,56.0,-100.0,2.6,,2016-07-01,0.0
2016-10-01,30.1,-4.7,0.1,-1.8,-3.7,-0.4,-1.5,-6.1,30.1,#N/A,3.2,,2016-10-01,-4.5
2017-01-01,-73.8,-2.4,-3.0,0.3,7.3,-0.5,-1.4,11.0,-73.8,-100.0,6.3,,2017-01-01,1.2
2017-04-01,105.8,0.2,7.6,0.8,0.7,-0.7,4.7,-14.7,105.8,#N/A,3.2,,2017-04-01,-1.2
2017-07-01,48.8,3.8,2.7,0.1,-2.1,-0.1,-0.7,1.3,48.8,-100.0,-0.3,,2017-07-01,1.2
2017-10-01,27.0,-0.3,5.4,-2.9,7.8,0.0,-1.7,10.3,27.0,#N/A,0.4,,2017-10-01,-8.2
2018-01-01,-69.5,4.1,-5.6,5.9,3.7,-0.2,4.9,9.1,-69.5,-100.0,-1.3,,2018-01-01,5.1
2018-04-01,105.6,-0.1,6.0,-4.1,-18.3,-0.6,1.8,-22.6,105.6,#N/A,-6.4,,2018-04-01,-6.1
2018-07-01,53.2,-2.2,1.1,0.0,-26.9,-0.6,-0.9,2.6,53.2,-100.0,-7.4,,2018-07-01,-1.3
2018-10-01,30.1,-1.8,3.8,6.0,-0.7,-0.1,0.7,9.3,30.1,#N/A,3.2,,2018-10-01,5.3
2019-01-01,-76.8,0.7,-7.4,2.7,9.8,-0.7,0.1,12.9,-76.8,-100.0,1.6,,2019-01-01,3.8
2019-04-01,113.4,-2.9,4.1,2.7,-4.8,-0.8,-8.0,-1.7,113.4,#N/A,-2.5,,2019-04-01,4.8
2019-07-01,55.3,0.4,2.1,0.1,8.7,-0.4,2.4,-6.3,55.3,266800.0,2.1,,2019-07-01,-3.4
2019-10-01,30.9,-0.9,5.7,3.7,8.2,-0.1,-1.8,16.0,30.9,1386.1,6.4,,2019-10-01,3.6
2020-01-01,-80.3,-0.5,2.5,4.3,15.8,-0.1,2.8,5.1,-80.3,-5.6,6.8,,2020-01-01,6.9
2020-04-01,125.2,9.5,,9.2,82.9,,,63.7,125.2,,29.4,,2020-04-01,2.2
2020-07-01,66.1,4.0,,6.0,-9.2,,,-4.1,66.1,,-2.1,,2020-07-01,-3.2
2020-10-01,,1.9,,,11.2,,,,,,5.1,,,
2021-01-01,,-0.3,,,27.3,,,,,,10.9,,,
2021-04-01,,1.5,,,13.3,,,,,,9.6,,,
2021-07-01,,-1.7,,,4.7,,,,,,10.9,,,
2021-10-01,,-3.2,,,3.3,,,,,,6.8,,,
2022-01-01,,-1.8,,,-2.5,,,,,,1.2,,,
2022-04-01,,-11.8,,,-32.8,,,,,,-5.3,,,
